Episode: 517, Reward: 20, Epsilon: 0.09
Episode: 518, Reward: 20, Epsilon: 0.09
Episode: 519, Reward: 20, Epsilon: 0.09
Episode: 520, Reward: 20, Epsilon: 0.09
Episode: 521, Reward: 20, Epsilon: 0.09
Episode: 522, Reward: 20, Epsilon: 0.08
Episode: 523, Reward: 20, Epsilon: 0.08
Episode: 524, Reward: 20, Epsilon: 0.08
Episode: 525, Reward: 20, Epsilon: 0.08
Episode: 526, Reward: 20, Epsilon: 0.08
Episode: 527, Reward: 20, Epsilon: 0.08
Episode: 528, Reward: 20, Epsilon: 0.08
Episode: 529, Reward: 20, Epsilon: 0.08
Episode: 530, Reward: 20, Epsilon: 0.08
Episode: 531, Reward: 20, Epsilon: 0.08
Episode: 532, Reward: 20, Epsilon: 0.08
Episode: 533, Reward: 20, Epsilon: 0.08
Episode: 534, Reward: 20, Epsilon: 0.08
Episode: 535, Reward: 20, Epsilon: 0.08
Episode: 536, Reward: 20, Epsilon: 0.08
Episode: 537, Reward: 20, Epsilon: 0.08
Episode: 538, Reward: -1, Epsilon: 0.08
Episode: 539, Reward: 20, Epsilon: 0.08
Episode: 540, Reward: 20, Epsilon: 0.08
Episode: 541, Reward: 20, Epsilon: 0.08
Episode: 542, Reward: 20, Epsilon: 0.08
Episode: 543, Reward: 20, Epsilon: 0.08
Episode: 544, Reward: 20, Epsilon: 0.08
Episode: 545, Reward: -1, Epsilon: 0.08
Episode: 546, Reward: 20, Epsilon: 0.08
Episode: 547, Reward: 20, Epsilon: 0.07
Episode: 548, Reward: 20, Epsilon: 0.07
Episode: 549, Reward: 20, Epsilon: 0.07
Episode: 550, Reward: 20, Epsilon: 0.07
Episode: 551, Reward: 20, Epsilon: 0.07
Episode: 552, Reward: 20, Epsilon: 0.07
Episode: 553, Reward: 20, Epsilon: 0.07
